Updated 09/18/25 at 06:03pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Ja'Marr Chase,WR1,WR,CIN,9997,25.6,No,WR1,9960,,0
Bijan Robinson,RB1,RB,ATL,9994,23.6,No,RB1,9519,,0
Malik Nabers,WR2,WR,NYG,9573,22.1,No,WR2,8962,,0
Justin Jefferson,WR3,WR,MIN,9451,26.2,No,WR3,8754,,0
Jahmyr Gibbs,RB2,RB,DET,9246,23.5,No,RB2,8464,,0
CeeDee Lamb,WR4,WR,DAL,8948,26.4,No,WR4,8419,,0
Brock Bowers,TE1,TE,LVR,8612,22.8,No,TE1,8096,,0
Puka Nacua,WR5,WR,LAR,8279,24.3,No,WR5,7804,,0
Amon-Ra St. Brown,WR6,WR,DET,8114,25.9,No,WR6,7524,,0
Josh Allen,QB1,QB,BUF,8059,29.3,No,QB1,9999,,0
Ashton Jeanty,RB3,RB,LVR,7699,21.8,Yes,RB3,7096,,0
Lamar Jackson,QB2,QB,BAL,7629,28.7,No,QB2,9996,,0
Brian Thomas Jr.,WR7,WR,JAC,7419,22.9,No,WR7,6855,,0
Jaxon Smith-Njigba,WR8,WR,SEA,7374,23.6,No,WR8,6826,,0
Drake London,WR9,WR,ATL,7373,24.2,No,WR9,6713,,0
Jayden Daniels,QB3,QB,WAS,7350,24.8,No,QB3,9390,,0
Saquon Barkley,RB4,RB,PHI,7308,28.6,No,RB4,6672,,0
Trey McBride,TE2,TE,ARI,7222,25.8,No,TE2,6640,,0
Nico Collins,WR10,WR,HOU,6998,26.5,No,WR10,6397,,0
Bucky Irving,RB5,RB,TBB,6942,23.1,No,RB5,6291,,0
Ladd McConkey,WR11,WR,LAC,6923,23.9,No,WR12,6295,,0
Emeka Egbuka,WR12,WR,TBB,6860,22.9,Yes,WR11,6374,,0
De'Von Achane,RB6,RB,MIA,6775,23.9,No,RB6,6216,,0
Tetairoa McMillan,WR13,WR,CAR,6725,22.4,Yes,WR13,6197,,0
Jonathan Taylor,RB7,RB,IND,6657,26.7,No,RB7,6084,,0
Omarion Hampton,RB8,RB,LAC,6581,22.5,Yes,RB8,5917,,0
2027 Early 1st,,PI,,6511,,,,5916.99,,0
Marvin Harrison Jr.,WR14,WR,ARI,6488,23.1,No,WR15,5842,,0
Garrett Wilson,WR15,WR,NYJ,6410,25.2,No,WR14,5848,,0
